2025-08-01 13:07:21.306549+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-lmzhp

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out        thru
  mobile  sfe.dv879:0                                              closest    -    0      1       1       0          1
  mobile  sfe.lmzhp:0                                              closest    -    0      0       1       0          0
  router  skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67          closest    -    0      1       94      0          114
  router  skupper-prd-dor-skupper-router-6c9d8b4d99-dv879          closest    -    0      1       130     0          152
  router  skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd          closest    -    0      1       676     0          150
  local   temp.+8NzjvETfLYZhV7                                     balanced   -    1      0       1       1          0
  local   temp.+TYoZSEalcvwQGe                                     balanced   -    1      0       1       1          0
  local   temp.+jkv5f0lh0EtP+B                                     balanced   -    1      0       1       1          0
  local   temp.+y8Nl6OUk68Vx2b                                     balanced   -    1      0       1       1          0
  local   temp.0BE_CLN9vI1EnNm                                     balanced   -    1      0       1       1          0
  local   temp.0MbTHVd1MSQ5UTi                                     balanced   -    1      0       1       1          0
  local   temp.0XoOGk7xSuWkh7y                                     balanced   -    1      0       1       1          0
  local   temp.164yJyuwB_RW1RE                                     balanced   -    1      0       0       0          0
  local   temp.1KB_FWhmoPGG+EK                                     balanced   -    1      0       1       1          0
  local   temp.1PN4Apu2UUrxZ02                                     balanced   -    1      0       1       1          0
  local   temp.25c01IoTL651LSH                                     balanced   -    1      0       1       1          0
  local   temp.2WYeWcfj5DFiQHf                                     balanced   -    1      0       1       1          0
  local   temp.339Qfi7oLrz50jG                                     balanced   -    1      0       1       1          0
  local   temp.3G+B5ToyaPvf8Ou                                     balanced   -    1      0       1       1          0
  local   temp.3Va92TT0o4o9shM                                     balanced   -    1      0       1       1          0
  local   temp.3emF+yy8pH3BihO                                     balanced   -    1      0       0       0          0
  local   temp.4+ojOXYf2CIPbBW                                     balanced   -    1      0       1       1          0
  local   temp.4CoI74rr0lkPI+r                                     balanced   -    1      0       1       1          0
  local   temp.4OjgtpDtYPloKhj                                     balanced   -    1      0       1       1          0
