2025-08-01 13:08:25.629286+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.66pMC9r9DQ9jf+y                                     balanced   -    1      0       1       1        0
  local   temp.6e2hNbq2nDrz_f9                                     balanced   -    1      0       1       1        0
  local   temp.71P5VACxJpxVrAK                                     balanced   -    1      0       1       1        0
  local   temp.71zgkpnQteeh71C                                     balanced   -    1      0       1       1        0
  local   temp.7B047dyKonSooBB                                     balanced   -    1      0       1       1        0
  local   temp.97gxxQ3WqsHNHhT                                     balanced   -    1      0       1       1        0
  local   temp.9JRb2QOomZvPLIF                                     balanced   -    1      0       1       1        0
  local   temp.9RFU8UwCSyzGCN9                                     balanced   -    1      0       1       1        0
  local   temp.9ZtRRFWc471VwzQ                                     balanced   -    1      0       1       1        0
  local   temp.9f_v6dgfOt6wg56                                     balanced   -    1      0       1       1        0
  local   temp.A4tlhC4Ui4WcVBV                                     balanced   -    1      0       1       1        0
  local   temp.Adkozuc+_68YY9R                                     balanced   -    1      0       1       1        0
  local   temp.BAC7mF1JxIbadHw                                     balanced   -    1      0       1       1        0
  local   temp.BB+mxD7WR0xVenK                                     balanced   -    1      0       1       1        0
  local   temp.BVIfrVpK7J59RIh                                     balanced   -    1      0       1       1        0
  local   temp.C0tvtqwFAgrOCWB                                     balanced   -    1      0       1       1        0
  local   temp.CUQivNkC+KLsydf                                     balanced   -    1      0       1       1        0
  local   temp.CcydoktStk4rG6J                                     balanced   -    1      0       1       1        0
  local   temp.Dnb5eVzwMv4hLUm                                     balanced   -    1      0       1       1        0
  local   temp.FAf5zm+L1EpI9j_                                     balanced   -    1      0       1       1        0
  local   temp.FQcj_jeQ4B+JgaS                                     balanced   -    1      0       1       1        0
  local   temp.FhAJeyapNtZTl62                                     balanced   -    1      0       1       1        0
  local   temp.GEZH64BdBl4FSr5                                     balanced   -    1      0       1       1        0
  local   temp.GN5TID5GdG621IO                                     balanced   -    1      0       1       1        0
  local   temp.GZ6DZFBIsUjz52b                                     balanced   -    1      0       0       14,261   0
  local   temp.HDip_Q133vc2Lo8                                     balanced   -    1      0       1       1        0
  local   temp.HT6maFhk+cMepEX                                     balanced   -    1      0       1       1        0
  local   temp.I034uyvrTDGPmww                                     balanced   -    1      0       1       1        0
  local   temp.I5XRO87O937wBe1                                     balanced   -    1      0       1       1        0
  local   temp.I5cKjjM4adBiRTw                                     balanced   -    1      0       1       1        0
  local   temp.I9GQyJOa+8am7nZ                                     balanced   -    1      0       1       1        0
  local   temp.Ii_7YRmGzmSyVDn                                     balanced   -    1      0       1       1        0
  local   temp.K5BOxZ27qXOpCb2                                     balanced   -    1      0       1       1        0
  local   temp.KbPN52RmUQ3c_WT                                     balanced   -    1      0       1       1        0
  local   temp.Kf1qPP9msQwmmo2                                     balanced   -    1      0       1       1        0
  local   temp.L6sKoO_1JJgP+wj                                     balanced   -    1      0       1       1        0
  local   temp.LBMUeNWga42VNE4                                     balanced   -    1      0       1       1        0
  local   temp.LI3i0Lr03IW9NAx                                     balanced   -    1      0       1       1        0
  local   temp.LdxcCmkPhycPSV+                                     balanced   -    1      0       1       1        0
  local   temp.LoifeCxxZmcWedp                                     balanced   -    1      0       1       1        0
  local   temp.M1Rqc8RgknEyDSg                                     balanced   -    1      0       1       1        0
  local   temp.MOBqvNMMRAor7z0                                     balanced   -    1      0       1       1        0
  local   temp.MtCAePeIOB38ee1                                     balanced   -    1      0       1       1        0
  local   temp.N3JC+y3EPHAq3Ol                                     balanced   -    1      0       1       1        0
  local   temp.NouxrW+eK4icMZG                                     balanced   -    1      0       1       1        0
  local   temp.O+hZakz94SdN1Eg                                     balanced   -    1      0       1       1        0
  local   temp.O2NWgOsPiuNc7WR                                     balanced   -    1      0       1       1        0
  local   temp.Ofe+_f8T6cp1Tj5                                     balanced   -    1      0       1       1        0
  local   temp.OnOf6o6Dfa7v26G                                     balanced   -    1      0       1       1        0
  local   temp.Op1yQ_g3lznT8+j                                     balanced   -    1      0       1       1        0
  local   temp.PJ4VREt+Y5aVFLB                                     balanced   -    1      0       1       1        0
  local   temp.POr8qRXW6JOK_pU                                     balanced   -    1      0       1       1        0
  local   temp.QNhFMtEgPxmHiyt                                     balanced   -    1      0       1       1        0
  local   temp.QVFF1oHS7gdm8In                                     balanced   -    1      0       1       1        0
  local   temp.QlyoXrSxcf41CRv                                     balanced   -    1      0       1       1        0
  local   temp.R3xZzE6tdZuMh_F                                     balanced   -    1      0       1       1        0
  local   temp.RAD2p9ZL_4ul8ro                                     balanced   -    1      0       1       1        0
  local   temp.RIEA+JUrXWKjXOf                                     balanced   -    1      0       1       1        0
  local   temp.RSz0LPATYkKKDBV                                     balanced   -    1      0       1       1        0
  local   temp.RUAkJDd+8BO0dXV                                     balanced   -    1      0       1       1        0
  local   temp.RaV55GvILlCGPmD                                     balanced   -    1      0       1       1        0
  local   temp.RbksSlv3g88Ed7m                                     balanced   -    1      0       1       1        0
  local   temp.SCYhyPmYc+ex4st                                     balanced   -    1      0       1       1        0
  local   temp.SDZvuPUz4zZcqLk                                     balanced   -    1      0       1       1        0
  local   temp.SE7WNcG2g6k7xiZ                                     balanced   -    1      0       1       1        0
  local   temp.SFfrstY9sJFqmNt                                     balanced   -    1      0       1       1        0
  local   temp.Sdt4XDMlS3lgLuS                                     balanced   -    1      0       1       1        0
  local   temp.TfBCSU0RraRXrVm                                     balanced   -    1      0       1       1        0
  local   temp.U1GM04PG_y6IFBm                                     balanced   -    1      0       1       1        0
  local   temp.UaNPywM1V4HhBEp                                     balanced   -    1      0       1       1        0
  local   temp.UjqQBVdEfSFTGPe                                     balanced   -    1      0       1       1        0
  local   temp.V2AkzASjZJfGIKQ                                     balanced   -    1      0       1       1        0
  local   temp.W37mgenFbiTJ8B2                                     balanced   -    1      0       1       1        0
  local   temp.WqoHQ48jtG3FeVL                                     balanced   -    1      0       1       1        0
  local   temp.X6H4hyFMmDPmoCS                                     balanced   -    1      0       1       1        0
  local   temp.X7fBSJaa+6E8V0b                                     balanced   -    1      0       1       1        0
  local   temp.Xk+14at_E9rdKl3                                     balanced   -    1      0       1       1        0
  local   temp.Y3uxRWpmOFtWo1u                                     balanced   -    1      0       1       1        0
  local   temp.YoWHTG83JRhGBoz                                     balanced   -    1      0       1       1        0
  local   temp.Zprkf1MxDupHBhT                                     balanced   -    1      0       1       1        0
  local   temp._DqyXlRR36wM2qv                                     balanced   -    1      0       1       1        0
  local   temp._q8e3hBqzf7QCKr                                     balanced   -    1      0       1       1        0
  local   temp.aF4L3OneE6wwnEn                                     balanced   -    1      0       1       1        0
  local   temp.bIdRrfHtbW8UWiF                                     balanced   -    1      0       1       1        0
  local   temp.bS7NFheTgGg6Zkd                                     balanced   -    1      0       1       1        0
  local   temp.bb81h3pavA4SEcc                                     balanced   -    1      0       1       1        0
  local   temp.bcf6A6wqbanDpOE                                     balanced   -    1      0       1       1        0
  local   temp.c+rpvOelLsnB4pm                                     balanced   -    1      0       1       1        0
  local   temp.cO3uSFHqKANTy9F                                     balanced   -    1      0       1       1        0
  local   temp.ce2oHW4qofFvAx6                                     balanced   -    1      0       1       1        0
