2025-08-01 13:08:20.350902+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-9pz67

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out        thru
  local   temp.8DpJ7sYqodV3L3r                                     balanced   -    1      0       1       1          0
  local   temp.8UFwBjL45HE_5dz                                     balanced   -    1      0       1       1          0
  local   temp.8bpnrHK5xXn8Yri                                     balanced   -    1      0       1       1          0
  local   temp.8jKAi0FtfUJcuYY                                     balanced   -    1      0       1       1          0
  local   temp.9tJDTSaCry9NV0h                                     balanced   -    1      0       1       1          0
  local   temp.A+ZbgGqHIWokoMv                                     balanced   -    1      0       1       1          0
  local   temp.AGOWnzOh1syUgqe                                     balanced   -    1      0       1       1          0
  local   temp.AMNIbVZJkJRfV4s                                     balanced   -    1      0       1       1          0
  local   temp.AzZUUe+eIjXv6r4                                     balanced   -    1      0       1       1          0
  local   temp.BDuu9o9gwBBiDge                                     balanced   -    1      0       1       1          0
  local   temp.ClYPMPrPU3Yqw0h                                     balanced   -    1      0       1       1          0
  local   temp.CuPoeGRTZVzrJsW                                     balanced   -    1      0       1       1          0
  local   temp.Cy_YzVtxZIda7ms                                     balanced   -    1      0       1       1          0
  local   temp.DAsde66B4KCFyv_                                     balanced   -    1      0       1       1          0
  local   temp.E3aDzTh4rRlptRN                                     balanced   -    1      0       1       1          0
  local   temp.EwE58Yi1MbW8zpK                                     balanced   -    1      0       1       1          0
  local   temp.FVjxKZX4FJrjg66                                     balanced   -    1      0       1       1          0
  local   temp.FcdVRwtpCLTfRXl                                     balanced   -    1      0       1       1          0
  local   temp.H2zg8+_MCpNO55l                                     balanced   -    1      0       1       1          0
  local   temp.IZuYEsATPSdT5yi                                     balanced   -    1      0       1       1          0
  local   temp.IfIyXCC6UXBIeU1                                     balanced   -    1      0       1       1          0
  local   temp.ItjRAfNvLQqb_ZD                                     balanced   -    1      0       1       1          0
  local   temp.J0Vda+hYf5kuDdZ                                     balanced   -    1      0       1       1          0
  local   temp.JEPtfUPqVo0qqdR                                     balanced   -    1      0       1       1          0
  local   temp.JSlH24rZxXG+ESn                                     balanced   -    1      0       1       1          0
  local   temp.JonuwEdBGgbihwx                                     balanced   -    1      0       1       1          0
  local   temp.KwwJM4Z2F+gDoRo                                     balanced   -    1      0       1       1          0
  local   temp.LfssECKE7zAUIb_                                     balanced   -    1      0       1       1          0
  local   temp.LtGCsoteGrYZWnl                                     balanced   -    1      0       1       1          0
  local   temp.MxNwiTgRuTH8hBB                                     balanced   -    1      0       1       1          0
  local   temp.N8P1vLy77oqk2F7                                     balanced   -    1      0       1       1          0
  local   temp.N8ng+11YEjgrR0+                                     balanced   -    1      0       1       1          0
  local   temp.NFExa6v7BU+4cFO                                     balanced   -    1      0       1       1          0
  local   temp.NIJPX+dbIpvP__2                                     balanced   -    1      0       1       1          0
  local   temp.NMoc32aQWaq10bw                                     balanced   -    1      0       0       14,256     0
  local   temp.NpXmMyP6STtUsQ8                                     balanced   -    1      0       1       1          0
