2025-08-05 18:23:01.036751+00:00 UTC
skupper-prd-wyn-skupper-router-7f4bf489d5-d94wd

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in      out      thru
  local   temp.38x+FXgM2L10xng                                     balanced   -    1      0       1       1        0
  local   temp.3G2RE3QpwiYWZlw                                     balanced   -    1      0       0       0        0
  local   temp.3KiUOIkUXNIjnME                                     balanced   -    1      0       1       1        0
  local   temp.3k9bhQ8F35biz8B                                     balanced   -    1      0       0       0        0
  local   temp.3quqmSKD0BMGW34                                     balanced   -    1      0       0       0        0
  local   temp.49aO8MpxeqguiAG                                     balanced   -    1      0       1       1        0
  local   temp.4OnqxxjF0lbI92d                                     balanced   -    1      0       1       1        0
  local   temp.4T3ji8sXb4Wwxqh                                     balanced   -    1      0       1       1        0
  local   temp.4Wj4cCWG_r+cxFR                                     balanced   -    1      0       1       1        0
  local   temp.4aYjQVUwxIn42Sw                                     balanced   -    1      0       0       0        0
  local   temp.4dvVFDfuh4h4pHT                                     balanced   -    1      0       1       1        0
  local   temp.4j42Hgth17RHi4c                                     balanced   -    1      0       0       0        0
  local   temp.4vws9boT_wySFjq                                     balanced   -    1      0       0       0        0
  local   temp.5+gvT7__22kJa8G                                     balanced   -    1      0       0       0        0
  local   temp.57tkPxMt4RjCIoK                                     balanced   -    1      0       1       1        0
  local   temp.5D3a9kpO_VRdrfe                                     balanced   -    1      0       0       0        0
  local   temp.5GaNn1KlsSPAs+a                                     balanced   -    1      0       0       0        0
  local   temp.5LJSvY1onp1EzQb                                     balanced   -    1      0       0       0        0
  local   temp.5Pio3KfRTkHbcGv                                     balanced   -    1      0       0       0        0
  local   temp.5WpdH_O+b9GHbSA                                     balanced   -    1      0       0       0        0
  local   temp.5_AqJ_Z4Qgwmb+H                                     balanced   -    1      0       0       0        0
  local   temp.5oK02QYNTxzKqco                                     balanced   -    1      0       1       1        0
  local   temp.5vaKzmLTuoHa+ai                                     balanced   -    1      0       1       1        0
  local   temp.6T1aLAJeLQed_lv                                     balanced   -    1      0       0       0        0
  local   temp.6hK8_yl7EQDJQTR                                     balanced   -    1      0       0       0        0
  local   temp.6oRx2JOJ++CrVE9                                     balanced   -    1      0       0       0        0
  local   temp.6tWu8R7evcOVJ03                                     balanced   -    1      0       0       0        0
  local   temp.6yap46ydVafxvmn                                     balanced   -    1      0       1       1        0
  local   temp.7Bxq+rc0A0pWTYR                                     balanced   -    1      0       0       0        0
  local   temp.7DBSBI_vEr9z0RM                                     balanced   -    1      0       1       1        0
  local   temp.7Dt8H6F9dumSMrB                                     balanced   -    1      0       0       0        0
  local   temp.7HFFj+qiLYp+SyH                                     balanced   -    1      0       0       0        0
  local   temp.7N+U8Isk3DvR33Y                                     balanced   -    1      0       0       0        0
  local   temp.7W8IIYdaN3J+RG+                                     balanced   -    1      0       0       0        0
  local   temp.7fBwiuOEoVDJxI5                                     balanced   -    1      0       1       1        0
  local   temp.7m+zr5i_GztOZ98                                     balanced   -    1      0       0       0        0
  local   temp.7x2dMQmeKpKDuhW                                     balanced   -    1      0       0       0        0
  local   temp.85wF6zJ16wImLjz                                     balanced   -    1      0       0       0        0
  local   temp.8OgHGvyALeYI+P_                                     balanced   -    1      0       1       1        0
  local   temp.8P+vruDLdvYQgvn                                     balanced   -    1      0       0       0        0
  local   temp.8SaSutVX7ggFrm2                                     balanced   -    1      0       1       1        0
  local   temp.8TNF_vqQNjC_vW1                                     balanced   -    1      0       1       1        0
  local   temp.8XfOMyZ9cNMf6dp                                     balanced   -    1      0       1       1        0
  local   temp.8_sCGrD5IfXLDFd                                     balanced   -    1      0       0       0        0
