2025-08-05 18:24:10.927036+00:00 UTC
skupper-prd-dor-skupper-router-6c9d8b4d99-dv879

Router Addresses
  class   addr                                                     distrib    pri  local  remote  in       out        thru
  local   temp.8R1gbFzHDNc0jzG                                     balanced   -    1      0       1        1          0
  local   temp.8ce5glnV8Qua3Xe                                     balanced   -    1      0       1        1          0
  local   temp.8y40p8C0zWuv3YQ                                     balanced   -    1      0       1        1          0
  local   temp.9k02M8I0EEE0qdi                                     balanced   -    1      0       1        1          0
  local   temp.9n0RTXE7SlU2TRD                                     balanced   -    1      0       1        1          0
  local   temp.A3x+x0aAnU5j755                                     balanced   -    1      0       1        1          0
  local   temp.ARS7BTByr0E2rqI                                     balanced   -    1      0       1        1          0
  local   temp.ASwnk+Mawg0uoXe                                     balanced   -    1      0       1        1          0
  local   temp.ATK_+8W422r8ohm                                     balanced   -    1      0       1        1          0
  local   temp.AbZWCxHnzUG+VfQ                                     balanced   -    1      0       1        1          0
  local   temp.AcSDVAO7Ibsd08J                                     balanced   -    1      0       1        1          0
  local   temp.AlkBwCzAp7z1jU3                                     balanced   -    1      0       1        1          0
  local   temp.AmYCvilvSq5EHjY                                     balanced   -    1      0       1        1          0
  local   temp.B0BNCBcwknaEwHe                                     balanced   -    1      0       1        1          0
  local   temp.B2n5bXw3DDg+iUp                                     balanced   -    1      0       1        1          0
  local   temp.B3n7O3trwYKxvb+                                     balanced   -    1      0       1        1          0
  local   temp.BB62lk72QqnER2i                                     balanced   -    1      0       1        1          0
  local   temp.BN2JvIrk+wvsdyd                                     balanced   -    1      0       1        1          0
  local   temp.BrPICoW+jkaMBCQ                                     balanced   -    1      0       1        1          0
  local   temp.Bzr5TPBCIFe8_Wd                                     balanced   -    1      0       1        1          0
  local   temp.C81J128npodFGoN                                     balanced   -    1      0       1        1          0
  local   temp.CFE5NzntstKzwUc                                     balanced   -    1      0       1        1          0
  local   temp.D0bzsFXD8YqSxRi                                     balanced   -    1      0       1        1          0
  local   temp.DbN+XzCDQF+9V2j                                     balanced   -    1      0       1        1          0
  local   temp.EVJUedQcXhUxR_s                                     balanced   -    1      0       1        1          0
  local   temp.EuLLVknvsDsDesv                                     balanced   -    1      0       1        1          0
  local   temp.F3Y9WpUh2GGoAiU                                     balanced   -    1      0       1        1          0
  local   temp.FCsa0XjBCikUcD6                                     balanced   -    1      0       1        1          0
  local   temp.FclPOvTpyKa_9vq                                     balanced   -    1      0       1        1          0
  local   temp.Fk5+yEx1Mgf5uo1                                     balanced   -    1      0       1        1          0
  local   temp.FnPjJaz8SFVG8Qa                                     balanced   -    1      0       1        1          0
  local   temp.G0FW1mZn2ClguWw                                     balanced   -    1      0       1        1          0
  local   temp.G5RvpQ4cY4CYRC6                                     balanced   -    1      0       1        1          0
  local   temp.GAR6IC8k2vmX87e                                     balanced   -    1      0       1        1          0
  local   temp.GBUTV8Kp4jd4Kas                                     balanced   -    1      0       1        1          0
  local   temp.GCBtvjYbruvlouV                                     balanced   -    1      0       0        0          0
  local   temp.GWTlxpAnXwE0JZh                                     balanced   -    1      0       1        1          0
  local   temp.GZ6DZFBIsUjz52b                                     balanced   -    1      0       0        75,021     0
  local   temp.G_fnlcPPIyy875O                                     balanced   -    1      0       1        1          0
  local   temp.H77Pepzs3xHhkjz                                     balanced   -    1      0       1        1          0
  local   temp.HMAhyfJJoAsjQzM                                     balanced   -    1      0       1        1          0
  local   temp.HP+UxNnFXCrarSm                                     balanced   -    1      0       1        1          0
  local   temp.HS_y9O0JX0INID9                                     balanced   -    1      0       1        1          0
  local   temp.Hiied41McgIYodm                                     balanced   -    1      0       1        1          0
  local   temp.HrAibNIxorw9tCq                                     balanced   -    1      0       1        1          0
  local   temp.I5GRemDojxVCxlr                                     balanced   -    1      0       1        1          0
